"root(m,s)","root(m,p)","root(f,s)","root(f,p)","present(m,s)","present(m,p)","present(f,s)","present(f,p)","command(m,s)","command(m,p)","command(f,s)","command(f,p)"
رَكَضَ,رَكَضُوا,,,,,,,,,,
فَعَلَ,فَعَلُوا,,,,,,,,,,
سَئَلَ,سَئَلُوا,,,,,,,,,,
خَرَجَ,خَرَجُوا,,,,,,,,,,
شَعَرَ,شَعَرُوا,,,,,,,,,,
شَرَعَ,شَرَعُوا,,,,,,,,,,
سَفَكَ,سَفَكُوا,,,,,,,,,,
رَفَقَ,رَفَقُوا,,,,,,,,,,
صَحَبَ,صَحَبُوا,,,,,,,,,,
قَتَلَ,قَتَلُوا,,,,,,,,,,
خَشَعَ,خَشَعُوا,,,,,,,,,,
صَدَقَ,صَدَقُوا,,,,,,,,,,
ذَكَرَ,ذَكَرُوا,,,,,,,,,,
كَتَبَ,كَتَبُوا,,,,,,,,,,
سَحَبَ,سَحَبُوا,,,,,,,,,,
عَبَدَ,عَبَدُوا,,,,,,,,,,
جَلَسَ,جَلَسُوا,,,,,,,,,,
سَبَحَ,سَبَحُوا,,,,,,,,,,
سَمَحَ,سَمَحُوا,,,,,,,,,,
صَرَخَ,صَرَخُوا,,,,,,,,,,
